name;code;country;timezone
"BCBA";"XBUE";"Argentina";"America/Argentina/Buenos_Aires"
"ASX";"XASX";"Australia";"Australia/Sydney"
"CXA";"CXAC";"Australia";"Australia/Sydney"
"VSE";"XWBO";"Austria";"Europe/Vienna"
"Euronext";"XBRU";"Belgium";"Europe/Brussels"
"BSE";"XBOT";"Botswana";"Africa/Gaborone"
"Bovespa";"BVMF";"Brazil";"America/Paramaribo"
"NEO";"NEOE";"Canada";"America/Toronto"
"TSXV";"XTSX";"Canada";"America/Toronto"
"CSE";"XCNQ";"Canada";"America/Toronto"
"TSX";"XTSE";"Canada";"America/Toronto"
"BVS";"XSGO";"Chile";"America/Santiago"
"SZSE";"XSHE";"China";"Asia/Shanghai"
"SSE";"XSHG";"China";"Asia/Shanghai"
"BVC";"XBOG";"Colombia";"America/New_York"
"PSE";"XPRA";"Czech Republic";"Europe/Prague"
"OMXC";"XCSE";"Denmark";"Europe/Copenhagen"
"DSME";"DSME";"Denmark";"Europe/Copenhagen"
"EGX";"XCAI";"Egypt";"Africa/Cairo"
"OMXT";"XTAL";"Estonia";"Europe/Tallinn"
"OMXH";"XHEL";"Finland";"Europe/Helsinki"
"Euronext";"XPAR";"France";"Europe/Paris"
"XDUS";"XDUS";"Germany";"Europe/Berlin"
"Munich";"XMUN";"Germany";"Europe/Berlin"
"XBER";"XBER";"Germany";"Europe/Berlin"
"XSTU";"XSTU";"Germany";"Europe/Berlin"
"XETR";"XETR";"Germany";"Europe/Berlin"
"FSX";"XFRA";"Germany";"Europe/Berlin"
"XHAM";"XHAM";"Germany";"Europe/Berlin"
"XHAN";"XHAN";"Germany";"Europe/Berlin"
"ASE";"ASEX";"Greece";"Europe/Athens"
"HKEX";"XHKG";"Hong Kong";"Asia/Hong_Kong"
"BSE";"XBUD";"Hungary";"Europe/Budapest"
"ICEX";"XICE";"Iceland";"Atlantic/Reykjavik"
"BSE";"XBOM";"India";"Asia/Kolkata"
"NSE";"XNSE";"India";"Asia/Kolkata"
"IDX";"XIDX";"Indonesia";"Asia/Jakarta"
"XESM";"XESM";"Ireland";"Europe/Dublin"
"XMSM";"XMSM";"Ireland";"Europe/Dublin"
"ISE";"XDUB";"Ireland";"Europe/Dublin"
"TASE";"XTAE";"Israel";"Asia/Jerusalem"
"MTA";"XMIL";"Italy";"Europe/Rome"
"JSE";"XJAM";"Jamaica";"America/Jamaica"
"XSAP";"XSAP";"Japan";"Asia/Tokyo"
"JPX";"XJPX";"Japan";"Asia/Tokyo"
"XKUW";"XKUW";"Kuwait";"Asia/Kuwait"
"OMXR";"XRIS";"Latvia";"Europe/Riga"
"OMXV";"XLIT";"Lithuania";"Europe/Vilnius"
"MYX";"XKLS";"Malaysia";"Asia/Kuala_Lumpur"
"BMV";"XMEX";"Mexico";"America/Swift_Current"
"Euronext";"XAMS";"Netherlands";"Europe/Amsterdam"
"NZX";"XNZE";"New Zealand";"Pacific/Auckland"
"OSE";"XOSL";"Norway";"Europe/Oslo"
"PSX";"XKAR";"Pakistan";"Asia/Karachi"
"BVL";"XLIM";"Peru";"America/Lima"
"PSE";"XPHS";"Philippines";"Asia/Manila"
"GPW";"XWAR";"Poland";"Europe/Warsaw"
"Euronext";"XLIS";"Portugal";"Europe/Lisbon"
"QE";"DSMD";"Qatar";"Asia/Qatar"
"BVB";"XBSE";"Romania";"Europe/Bucharest"
"MOEX";"MISX";"Russia";"Europe/Moscow"
"Tadawul";"XSAU";"Saudi Arabia";"Asia/Riyadh"
"SGX";"XSES";"Singapore";"Asia/Singapore"
"JSE";"XJSE";"South Africa";"Africa/Johannesburg"
"KONEX";"XKON";"South Korea";"Asia/Seoul"
"KRX";"XKRX";"South Korea";"Asia/Seoul"
"KOSDAQ";"XKOS";"South Korea";"Asia/Seoul"
"BME";"XMAD";"Spain";"Europe/Madrid"
"OMX";"XSTO";"Sweden";"Europe/Stockholm"
"Spotlight Stock Market";"XSAT";"Sweden";"Europe/Stockholm"
"SSME";"SSME";"Sweden";"Europe/Stockholm"
"SIX";"XSWX";"Switzerland";"Europe/Zurich"
"TWSE";"XTAI";"Taiwan";"Asia/Taipei"
"SET";"XBKK";"Thailand";"Asia/Bangkok"
"BIST";"XIST";"Turkey";"Europe/Istanbul"
"DFM";"XDFM";"United Arab Emirates";"Asia/Dubai"
"ADX";"XADS";"United Arab Emirates";"Asia/Dubai"
"LSE";"XLON";"United Kingdom";"Europe/London"
"OTC";"PSGM";"United States";"America/New_York"
"NASDAQ";"XNCM";"United States";"America/New_York"
"NYSE";"XNYS";"United States";"America/New_York"
"OTC";"OTCQ";"United States";"America/New_York"
"CBOE";"BATS";"United States";"America/New_York"
"OTC";"OTCB";"United States";"America/New_York"
"NASDAQ";"XNMS";"United States";"America/New_York"
"OTC";"PINX";"United States";"America/New_York"
"NASDAQ";"XNAS";"United States";"America/New_York"
"OTC";"EXPM";"United States";"America/New_York"
"NASDAQ";"XNGS";"United States";"America/New_York"
"NYSE";"ARCX";"United States";"America/New_York"
"NYSE";"XASE";"United States";"America/New_York"
"BVCC";"BVCA";"Venezuela";"America/Caracas"
